Date,Open,High,Low,Close,Volume
06/26/2024,"230.04","232.49","229.14","230.68","3,151,882"
06/25/2024,"230.86","231.30","228.54","230.59","3,479,902"
06/24/2024,"231.68","233.90","230.21","231.47","2,152,725"
06/21/2024,"231.11","231.11","227.50","230.38","5,064,401"
06/20/2024,"228.56","231.68","226.44","230.21","2,968,253"
06/18/2024,"227.58","229.31","226.77","229.31","2,176,467"
06/17/2024,"224.20","228.47","224.02","228.27","2,426,689"
06/14/2024,"221.38","225.64","221.34","224.82","2,373,907"
06/13/2024,"223.41","223.75","220.74","222.19","3,011,267"
06/12/2024,"227.43","228.40","222.83","224.04","3,091,113"
06/11/2024,"231.64","231.64","224.21","224.53","3,168,074"
06/10/2024,"231.95","233.92","230.60","232.44","2,933,675"
06/07/2024,"232.41","234.12","231.71","232.67","2,212,477"
06/06/2024,"234.79","236.40","232.70","233.35","2,709,843"
06/05/2024,"236.25","237.70","233.70","234.69","2,925,098"
06/04/2024,"236.39","240.00","235.73","237.25","2,512,117"
06/03/2024,"240.18","241.36","233.53","236.88","2,677,196"
05/31/2024,"238.00","240.19","235.91","240.00","5,102,491"
05/30/2024,"236.37","237.32","234.98","237.22","2,386,412"
05/29/2024,"235.45","237.66","234.67","235.94","2,711,330"
05/28/2024,"237.75","238.47","235.88","237.25","2,315,401"
05/24/2024,"236.86","240.07","236.69","238.18","1,624,528"
05/23/2024,"240.83","240.83","235.12","235.46","3,272,593"
05/22/2024,"242.91","243.47","239.53","240.09","2,292,745"
05/21/2024,"242.34","243.58","241.34","243.08","1,825,937"
05/20/2024,"243.11","244.41","242.10","242.30","1,983,370"
05/17/2024,"242.80","243.19","241.90","242.82","1,848,915"
05/16/2024,"241.72","243.35","240.85","241.32","2,606,056"
05/15/2024,"241.63","242.87","240.25","241.70","2,013,389"
05/14/2024,"238.15","242.09","238.10","241.53","2,387,310"
05/13/2024,"242.95","243.54","238.10","238.65","2,768,890"
05/10/2024,"240.50","243.54","240.31","242.30","2,590,895"
05/09/2024,"235.96","239.38","235.56","239.14","3,166,350"
05/08/2024,"234.40","236.85","233.52","236.24","2,501,911"
05/07/2024,"235.50","236.00","233.41","234.66","2,084,529"
05/06/2024,"232.30","234.57","231.32","234.33","2,259,573"
05/03/2024,"233.26","233.35","229.13","230.77","3,203,304"
05/02/2024,"233.58","233.95","230.91","232.50","2,734,874"
05/01/2024,"233.22","235.14","231.23","231.46","4,176,158"
04/30/2024,"237.88","239.61","233.77","234.03","3,564,276"
04/29/2024,"236.59","239.12","235.64","238.92","3,696,787"
04/26/2024,"236.00","236.92","234.42","235.64","2,993,335"
04/25/2024,"238.13","238.45","235.41","237.10","3,328,959"
04/24/2024,"238.27","240.55","237.97","239.12","4,429,243"
04/23/2024,"234.77","239.42","233.67","238.96","4,684,450"
04/22/2024,"232.03","235.37","227.69","233.00","5,151,299"
04/19/2024,"218.84","231.60","218.84","231.04","7,573,684"
04/18/2024,"218.26","221.45","217.18","217.50","3,901,454"
04/17/2024,"219.56","220.28","216.52","217.67","2,256,782"
04/16/2024,"217.70","219.38","216.51","218.34","4,176,672"
04/15/2024,"221.89","222.73","216.82","218.40","3,459,235"
04/12/2024,"217.00","218.28","216.12","218.20","2,441,341"
04/11/2024,"217.50","219.17","214.51","218.20","3,139,034"
04/10/2024,"217.51","219.50","215.52","217.65","3,115,019"
04/09/2024,"222.99","223.93","217.97","219.84","3,503,402"
04/08/2024,"223.46","224.85","223.13","224.11","1,401,323"
04/05/2024,"220.00","223.12","219.52","222.46","1,827,905"
04/04/2024,"229.14","229.68","219.21","219.59","3,035,326"
04/03/2024,"225.81","227.26","225.25","226.63","2,070,155"
04/02/2024,"226.37","226.97","224.59","225.53","1,984,722"
04/01/2024,"227.44","228.57","226.83","227.61","1,616,807"
03/28/2024,"228.46","228.46","226.34","227.69","2,295,844"
03/27/2024,"227.20","228.00","225.14","227.75","2,153,112"
03/26/2024,"226.62","226.87","224.32","224.46","2,106,373"
03/25/2024,"225.34","226.99","225.23","226.03","2,119,586"
03/22/2024,"229.05","230.54","225.91","225.96","2,284,653"
03/21/2024,"229.11","231.69","228.99","229.12","3,523,879"
03/20/2024,"221.49","228.06","221.23","227.91","2,249,652"
03/19/2024,"221.05","221.95","219.37","221.69","1,817,740"
03/18/2024,"219.90","221.73","218.99","220.97","1,893,106"
03/15/2024,"220.98","221.60","217.22","218.46","5,267,916"
03/14/2024,"224.28","224.29","219.10","220.47","2,418,002"
03/13/2024,"223.14","223.49","221.87","222.81","2,693,104"
03/12/2024,"221.24","223.44","219.64","222.65","2,067,715"
03/11/2024,"221.92","222.36","218.29","220.19","2,808,177"
03/08/2024,"223.04","224.90","222.84","223.37","2,242,892"
03/07/2024,"221.01","224.69","220.81","223.42","2,974,124"
03/06/2024,"217.62","219.29","217.27","218.45","2,727,955"
03/05/2024,"217.44","218.90","216.12","217.20","2,672,289"
03/04/2024,"219.07","219.58","217.24","218.91","2,625,426"
03/01/2024,"219.31","220.38","218.43","219.66","2,342,883"
02/29/2024,"218.99","219.74","217.65","219.42","5,186,513"
02/28/2024,"217.18","219.20","216.76","218.03","2,459,415"
02/27/2024,"217.43","218.08","216.30","217.98","2,428,235"
02/26/2024,"213.42","217.54","213.25","216.96","2,684,535"
02/23/2024,"215.00","216.32","214.26","214.56","2,617,090"
02/22/2024,"212.48","215.55","212.48","213.99","3,027,833"
02/21/2024,"211.60","212.69","209.10","210.89","2,600,172"
02/20/2024,"211.00","213.75","210.28","212.49","3,341,695"
02/16/2024,"212.53","214.29","211.87","212.56","2,831,527"
02/15/2024,"211.47","213.12","210.65","212.53","2,644,546"
02/14/2024,"211.15","211.29","208.82","210.90","2,770,792"
02/13/2024,"210.22","210.97","207.61","209.67","3,381,728"
02/12/2024,"212.25","214.01","211.61","212.26","4,041,427"
02/09/2024,"211.55","214.25","210.41","212.47","4,785,303"
02/08/2024,"208.25","211.34","207.95","211.21","4,136,649"
02/07/2024,"207.08","209.15","205.60","209.08","3,272,239"
02/06/2024,"205.44","207.08","204.00","205.65","3,255,282"
02/05/2024,"205.49","206.72","203.42","205.94","3,099,394"
02/02/2024,"203.39","206.97","203.00","206.41","3,393,186"
02/01/2024,"200.36","203.47","199.88","203.22","3,025,286"
01/31/2024,"202.40","205.32","200.66","200.74","3,495,246"
